PCT_LACCESS_POP10,PCT_LACCESS_LOWI10,PCT_LACCESS_SENIORS10,REDEMP_SNAPS11,SNAP_PART_RATE07,SNAP_PART_RATE09,PCT_NSLP11,PCH_NSLP_09_11,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,PCT_ADULTPA09,PCT_HSPA09,y2,y1,RECFAC09,PCH_RECFAC_07_09,RECFACPTH09,PCH_RECFACPTH_07_09,FOODINSEC_99_01,FOODINSEC_06_08,FMRKT09,FMRKTPTH09,PCH_FMRKTPTH_09_12,SLHOUSE07,CSA07,AGRITRSM_OPS07,AGRITRSM_RCT07,FARM_TO_SCHOOL,SODATAX_STORES11,SODATAX_VENDM11,CHIPSTAX_STORES11,CHIPSTAX_VENDM11,FOOD_TAX11,FFR09,PCH_FFR_07_09,FFRPTH09,PCH_FFRPTH_07_09,FSR09,PCH_FSR_07_09,FSRPTH09,PCH_FSRPTH_07_09,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV00,CHILDPOVRATE10,PERCHLDPOV00,METRO00,POPLOSS00,PCH_GROC_07_09,GROCPTH09,PCH_GROCPTH_07_09,SUPERCPTH09,PCH_SUPERCPTH_07_09,CONVSPTH09,PCH_CONVSPTH_07_09,SPECSPTH09,PCH_SPECSPTH_07_09,SNAPSPTH08,WICS08,WICSPTH08
20.37849871,5.907287421,2.448888987,249819.812,82,74,7.528385899,-0.138911191,24.31682323,8.881298036,0.335732376,3.696062697,1.413655216,74.3,20.2,6.5,28.9,9,12.5,0.164639166,9.56324888,11.1,11.6,4,0.073172963,21.3849857,1,2,5,,0,0,0,0,0,0,36,2.857142857,0.658556663,0.172113261,69,-2.816901408,1.262233605,-5.353813174,582.7155098,517,688.0841941,82.81407942,0.44765343,2.962093863,1.108303249,7.166064982,0.200361011,11.32851986,23.66606498,57347,10.7,0,14.4,0,0,0,-16,0.384158054,-18.19277417,0.018293241,-2.61044544,0.384158054,20.30474387,0.164639166,9.56324888,0.674,11,0.205028797
7.68772136,0.888592194,0.790977301,473703.7711,82,74,7.528385899,-0.138911191,26.93841382,4.829419584,0.335732376,3.696062697,1.413655216,74.3,20.2,7.3,32.4,5,66.66666667,0.384467512,68.19172113,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.538254517,0.91503268,13,-13.33333333,0.999615532,-12.54030501,582.7155098,517,688.0841941,66.17199674,0.563923722,3.991986347,6.945165838,13.58610967,0.178081175,10.14320695,23.94449803,58073,10,0,14.8,0,0,0,-25,0.230680507,-24.31372549,0,0,0.384467512,26.14379085,0.153787005,0.91503268,0.761,4,0.305787019
10.41539951,3.697891069,0.717356711,191059.1754,82,74,7.528385899,-0.138911191,30.86705202,10.32755299,0.335732376,3.696062697,1.413655216,74.3,20.2,5.9,29.8,0,-100,0,-100,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.449572906,-2.038063839,9,0,0.674359359,-2.038063839,582.7155098,517,688.0841941,52.50882872,0.625367863,7.327839906,19.27604473,12.94143614,0.632725132,6.731901118,28.64920541,59847,8.3,0,10.3,0,0,0,-20,0.29971527,-21.63045107,0,0,0.074928818,-2.038063839,0.149857635,-2.038063839,0.996,3,0.227790433
99.9999996,45.91409345,7.786633924,53828.09498,82,74,7.528385899,-0.138911191,57.36434109,6.976744186,0.335732376,3.696062697,1.413655216,74.3,20.2,7.5,33.7,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.7155098,517,688.0841941,22.19497241,0.551808706,2.636419375,0.367872471,64.00980993,0.306560392,7.786633967,30.16554261,39794,17.7,0,25.3,0,0,0,,0.673400673,0,0,0,0,,0,0,5.376,2,1.338688086
22.96278229,5.77279867,1.886819767,461515.4213,82,74,7.528385899,-0.138911191,24.53190221,6.785927251,0.335732376,3.696062697,1.413655216,74.3,20.2,5.2,29.6,8,-11.11111111,0.090519241,-17.12058294,11.1,11.6,5,0.056574526,15.34465882,0,0,0,0,0,0,0,0,0,0,36,-5.263157895,0.407336584,-11.66798972,45,15.38461538,0.509170731,7.583858679,582.7155098,517,688.0841941,82.78667341,0.918029103,3.709197146,1.20793303,5.320523625,0.240462947,7.943142873,28.89937637,68670,10.9,0,14.1,0,1,0,44.44444444,0.147093767,34.67905272,0.033944715,39.85901628,0.248927913,-24.02720103,0.04525962,86.47868838,0.421,10,0.117207187
53.37196625,35.96923514,3.159234008,309707.9467,82,74,7.528385899,-0.138911191,78.48210436,5.260888314,0.335732376,3.696062697,1.413655216,74.3,20.2,7,35.7,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33.33333333,0.42593973,32.18329606,5,-37.5,0.532424662,-38.03907997,582.7155098,517,688.0841941,15.91866835,0.284450063,1.211546566,0.927096502,75.5899705,0.094816688,6.352718078,34.33417615,43147,24.6,0,30.7,0,0,0,25,1.597273986,23.92184006,0,0,0.106484932,-50.43126398,0,-100,3.131,18,1.930087926
38.4796783,3.819365775,1.173439206,223729.1533,82,74,7.528385899,-0.138911191,35.35242291,8.755506608,0.335732376,3.696062697,1.413655216,74.3,20.2,7.2,39.4,1,,0.148104265,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0.592417062,96.38625592,5,66.66666667,0.740521327,63.65521327,582.7155098,517,688.0841941,32.43902439,0.965005302,2.640509014,4.390243902,53.51007423,1.092258749,4.262990456,23.87062566,68744,11.4,0,13.2,0,0,0,11.11111111,1.481042654,9.103475513,0,-100,0.296208531,96.38625592,0,0,1.814,8,1.189591078
57.45496574,32.33226224,3.269972074,283850.1355,82,74,7.528385899,-0.138911191,69.05241935,2.066532258,0.335732376,3.696062697,1.413655216,74.3,20.2,6,29.7,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.134336378,-0.255239119,0,0,0,0,582.7155098,517,688.0841941,11.03283265,0.465239931,0.770969028,0.558287917,81.11125881,0.159510833,6.048119101,35.2917719,49466,20,0,21.9,0,0,0,50,0.80601827,49.61714132,0,0,0.268672757,-50.12761956,0,0,2.799,13,1.740993706
18.21093133,5.894634222,1.822737144,296070.66,82,74,7.528385899,-0.138911191,23.79875636,6.161673262,0.335732376,3.696062697,1.413655216,74.3,20.2,7,29.7,2,100,0.228649823,99.56556534,11.1,11.6,1,0.114324911,-2.289991063,0,0,0,0,0,0,0,0,0,0,4,-42.85714286,0.457299646,-42.98126705,10,-9.090909091,1.143249114,-9.288379392,582.7155098,517,688.0841941,63.51762189,0.484179709,4.920617048,5.731336561,16.23691026,0.326539804,11.35007319,23.53338588,58000,9.1,0,11.8,0,0,0,33.33333333,0.457299646,33.04371022,0,0,0.228649823,-0.217217332,0.114324911,0,0.562,3,0.344392148
29.06925794,9.166466019,3.031013094,184752.3,82,74,7.528385899,-0.138911191,32.18637993,9.677419355,0.335732376,3.696062697,1.413655216,74.3,20.2,6,31,0,0,0,0,11.1,11.6,2,0.290191526,-51.68255749,0,0,0,0,0,0,0,0,0,0,6,20,0.870574579,19.35577481,8,-11.11111111,1.160766106,-11.58831495,582.7155098,517,688.0841941,78.74519846,1.01010101,3.329065301,0.910513587,11.33873951,0.156494523,9.446578461,26.30530659,54508,13.4,0,21.7,0,0,0,100,0.580383053,98.92629135,0,0,0.870574579,-0.536854324,0,0,1.185,5,0.732708089
27.95429569,10.86389619,2.881388397,58774.05895,82,74,7.528385899,-0.138911191,25.84407612,7.489257213,0.335732376,3.696062697,1.413655216,74.3,20.2,6.9,29.1,2,0,0.214500215,1.48005148,11.1,11.6,2,0.214500215,43.15250768,0,0,0,0,0,0,0,0,0,0,9,-18.18181818,0.965250965,-16.97086697,10,-16.66666667,1.072501073,-15.43329043,582.7155098,517,688.0841941,72.11498547,0.466998755,3.621834786,3.632212536,13.17974263,0.560398506,8.281444583,24.36695724,60297,9,0,11.2,0,0,0,0,0.858000858,1.48005148,0,0,0.750750751,-11.20495495,0.214500215,102.960103,1.495,7,0.750107158
